"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-7.07916959955202,2.98545793339163,-2.37121733331869,255.948383333998,0.0184704766975559
"2","HDI",12.983059885219,5.8468865275012,2.22050826951273,239.271218439553,0.0273216328358079
"3","WS",0.0386984640256931,0.00193257745852069,20.0242757955561,255.168972955352,0
"4","WUE",0.0438083418618596,0.0139056901676776,3.15038961271321,114.027282736071,0.00208267445118437
"5","NRI",-0.00150926041566028,0.000676875890977568,-2.22974467812785,255.913265354822,0.0266323621083919
"6","TPASDW",0.0468590913754811,0.0573280418176235,0.817385172941245,250.397801673006,0.414485400153322
