"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.77516294733366,2.96501888484449,-2.28503197128507,255.111772655509,0.0231321599121102
"2","HDI",10.7972732475781,5.92367181584357,1.82273319374302,241.926222343644,0.0695781106260149
"3","WS",0.0384218685491659,0.00191417121516236,20.0723259470324,255.811366829313,0
"4","WUE",0.0585698000019459,0.0142849301595264,4.10011105044755,239.886734269376,5.65631590814242e-05
"5","NRI",-0.00153418326935473,0.000669824545145962,-2.29042557558176,253.469331930148,0.0228183227756027
"6","TPASDW",0.0569686936742444,0.0577499680811848,0.986471431363526,244.585238893283,0.32487667620593
