"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.99657696897436,2.98885155780623,-2.34089142055276,253.824486587875,0.0200124336637377
"2","HDI",10.8485453963183,5.90951120425351,1.83577710936733,232.709894818832,0.0676665934713028
"3","WS",0.0383677394453687,0.00193228985933748,19.8560993631276,243.187248562514,0
"4","WUE",0.0579203251882014,0.014341332134477,4.0386991002711,225.49622427659,7.36971838248834e-05
"5","NRI",-0.00144466335091902,0.00065786005310252,-2.19600406515926,255.464633192805,0.0289908775243066
"6","TPASDW",0.0588665765633131,0.0573776374039877,1.02594981645623,247.880866748442,0.30591536063997
