"","Dependent..NRI_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...97..Missing...167..Log.likelihood...165.63..AIC....263.3..R.squared...0.94..Adjusted.R.squared...0.9....row.names...c.NA.."
"25","TFW","[0.2,715.8]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.301)","0.00 (0.00 to 0.00, p=0.008)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"1","AEI","[0.0,70.4]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.288)","-0.01 (-0.02 to -0.01, p=0.002)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"2","AWWTWW","[0.4,98.9]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.354)","0.01 (-0.01 to 0.04, p=0.302)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"11","IWWTWW","[0.2,83.5]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.220)","0.01 (-0.01 to 0.03, p=0.384)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"14","MWWTWW","[0.9,74.0]","Mean (sd)","0.0 (0.1)","0.00 (0.00 to 0.00, p<0.001)","0.02 (-0.01 to 0.04, p=0.163)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"8","IAWUE","[0.0,6.3]","Mean (sd)","0.0 (0.1)","0.09 (0.07 to 0.11, p<0.001)","0.07 (0.02 to 0.12, p=0.008)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"10","IWUE","[1.8,2476.3]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.825)","-0.00 (-0.00 to -0.00, p=0.006)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"22","SWUE","[2.8,515.7]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.320)","0.00 (-0.00 to 0.00, p=0.239)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"13","LR","[31.4,100.0]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.165)","0.00 (-0.00 to 0.00, p=0.064)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"19","PSE","[25.8,147.3]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.208)","-0.00 (-0.01 to -0.00, p<0.001)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"21","SSE","[5.7,157.2]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.892)","-0.00 (-0.00 to 0.00, p=0.475)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"29","TSE","[0.4,92.1]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.764)","-0.00 (-0.00 to 0.00, p=0.751)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"12","LEB","[29.0,82.6]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.606)","0.01 (0.00 to 0.01, p=0.001)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
