"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-7.02711049806203,2.97459895158716,-2.36237241135063,255.443370663477,0.0189087213811965
"2","HDI",12.2286159633605,5.84570616505952,2.09189713236913,251.127972048211,0.0374522555434258
"3","WS",0.0386929105012327,0.00191726738871826,20.1812802579926,255.951485339389,0
"4","WUE",0.050698885080966,0.0135099256409648,3.75271385115821,255.106908067868,0.000216616081438525
"5","NRI",-0.00146103338418874,0.00066722265746754,-2.1897238767852,251.274056840528,0.0294641266723197
"6","TPASDW",0.0495727083966092,0.0573650447768687,0.864162288889181,252.299680032713,0.388319568050816
