"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.60127621838359,3.20662823853319,-2.058634717632,126.809893370394,0.0415770175213841
"2","HDI",14.5769274040881,6.91871653614057,2.10688316654457,33.0448400468241,0.0428020005693266
"3","WS",0.0379529037102058,0.00191192174086748,19.8506575342282,252.942682142996,0
"4","WUE",0.0490836227663851,0.0163184601364981,3.0078587290601,21.6413277505186,0.00655339052599291
"5","NRI",-0.00145980172395259,0.000745651788573587,-1.95775259487428,66.7947144287204,0.0544385755172181
"6","TPASDW",0.0267697863363949,0.0598686043837016,0.447142314606596,147.581008303609,0.655427850053854
