"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.27998060681801,3.03161877900729,-2.07149416354862,248.786469025125,0.0393435432711096
"2","HDI",8.96516424147828,5.99001576767269,1.49668458134319,212.174871701785,0.135961400666039
"3","WS",0.0382542112510049,0.00193595451456494,19.7598708870501,253.035961046857,0
"4","WUE",0.0513072653917731,0.0134131846936822,3.82513672654784,113.90185242275,0.000213810000373016
"5","NRI",-0.0011867174557034,0.000685855690984135,-1.73027281293034,248.708067756503,0.0848220046154173
"6","TPASDW",0.0662544338780316,0.0585264934510952,1.13204174675857,234.660074585241,0.258772345209814
