"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-7.21884165511842,2.98881098743646,-2.41528878388864,255.874773230204,0.0164242585540322
"2","HDI",13.1791982655277,5.808318238432,2.26902138011734,253.04669966554,0.0241094883632267
"3","WS",0.038707878427374,0.00193250469837048,20.0299013296128,255.997222370347,0
"4","WUE",0.041843351726914,0.0127637170483281,3.27830455411067,253.60087089066,0.00119043684567854
"5","NRI",-0.00151002669068631,0.000678192851867997,-2.22654468640761,255.926098115921,0.0268484712936536
"6","TPASDW",0.0474177013582866,0.0572921177515406,0.827647907237841,254.206086854565,0.408646218169828
