"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.89248004834487,2.98622268942118,-2.30809312137429,255.238875131506,0.0217939561774922
"2","HDI",11.3835467039692,6.10400284103494,1.86493142294133,144.500244250938,0.0642191336773221
"3","WS",0.0381729564729605,0.00193938991785998,19.6829714960479,235.395045567541,0
"4","WUE",0.0584055543457223,0.0151789033032555,3.84781121394954,102.99951761647,0.000206895003540097
"5","NRI",-0.00160394971324593,0.00066924743013367,-2.39664680210363,243.196179767508,0.0173018140635164
"6","TPASDW",0.055078722127323,0.0582348936356096,0.945802742801668,218.003647330595,0.345296321248605
