"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-7.0380383064436,2.97712569411674,-2.36403801168081,254.43917428861,0.0188287599041619
"2","HDI",11.3240228432908,5.96443858727551,1.89858989703564,230.810691035292,0.0588657685204983
"3","WS",0.0386117225219351,0.00193117119629233,19.9939407733846,253.485081735717,0
"4","WUE",0.0492702548229924,0.0149688114834966,3.29152751220856,64.7599565073381,0.00161573743297705
"5","NRI",-0.0015553856689521,0.000678380792507488,-2.29279143237967,254.920226989534,0.0226748432475148
"6","TPASDW",0.0578756010103319,0.0574193924801528,1.00794519953057,252.295851586466,0.314446472299924
