"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.46109793765672,3.03769423582143,-2.12697442075159,249.548780144891,0.034403444559101
"2","HDI",9.43059498428934,5.95271010468896,1.58425235202716,221.974855223518,0.114559928141855
"3","WS",0.0381842842485435,0.00194320204253501,19.6501873777007,250.382433765527,0
"4","WUE",0.0510763951803065,0.0131615026995303,3.88074191422909,168.252072884487,0.000149273389264071
"5","NRI",-0.00120495120280167,0.000691044939808527,-1.74366547439814,243.444078664203,0.0824797848678591
"6","TPASDW",0.0652716690389597,0.0583971897672299,1.11771935086485,238.795040257234,0.264810108760592
