"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.90001448137551,2.98724096589664,-2.30982855422393,253.712147210244,0.0217009111294626
"2","HDI",11.3705750404021,5.93328947857015,1.91640321637269,241.367278001168,0.0564948432757655
"3","WS",0.0383861769253094,0.00191314315716727,20.0644561184573,254.368420904035,0
"4","WUE",0.0583778802353106,0.0145589085665547,4.00977037313213,197.527740591316,8.61387921955448e-05
"5","NRI",-0.00156853557319183,0.000664608014487123,-2.36009127034416,244.474911189728,0.019056816314007
"6","TPASDW",0.0546833917244304,0.0574640036407819,0.951611239381549,252.859610746801,0.342202894581283
