"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.82042559340167,3.11475196822035,-2.18971708276939,180.858112006452,0.029824739944464
"2","HDI",12.6255239611317,6.1912030917838,2.03926826078226,117.189156289886,0.0436724477419892
"3","WS",0.0381215636325385,0.0018889633525618,20.1812086935611,253.58552610206,0
"4","WUE",0.0551980997033885,0.0136241994490432,4.05147472406276,151.129221528701,8.11321757709926e-05
"5","NRI",-0.0013179963251452,0.000655045821701563,-2.01206737220542,241.611346060799,0.045322905292285
"6","TPASDW",0.041270159353843,0.0595170464594459,0.693417462877025,172.56047486709,0.488979899015988
