"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.95741498787899,2.98318982444429,-2.33220659673409,253.286297934933,0.0204740673478794
"2","HDI",11.3024043319458,6.18746237824154,1.82666231178894,175.890850739261,0.0694457343854167
"3","WS",0.0382831004455093,0.00207535873316616,18.4464978674336,101.204543545587,0
"4","WUE",0.0538936234276119,0.0161515223756538,3.33675192803183,37.8414076231826,0.00190961403904311
"5","NRI",-0.00156848191042356,0.000675392073101265,-2.32232798235462,255.101863078072,0.0210028443385544
"6","TPASDW",0.05546441809456,0.0589947014161688,0.940159315381478,225.599154336124,0.34814139840609
