"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-7.05561133751567,2.9758434503552,-2.37096186517254,254.031011932677,0.0184885974428335
"2","HDI",12.1650900523021,5.8670777199165,2.0734496171759,240.104635962182,0.0391970736663714
"3","WS",0.0386084373280927,0.00191568726887689,20.1538309281178,255.900889275155,0
"4","WUE",0.0522139268959638,0.013579477404748,3.84506158371806,242.503060530288,0.000154059971359199
"5","NRI",-0.00149160359185939,0.000665853974840594,-2.24013619835563,254.338871334349,0.0259461695842198
"6","TPASDW",0.0504612363380181,0.0574140132677932,0.878901046381383,250.539701466928,0.380297079357683
