"","Dependent..HDI_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...95..Missing...169..Log.likelihood...93.78..AIC....119.6..R.squared...0.22..Adjusted.R.squared....0.18....row.names...c.NA.."
"25","TFW","[0.2,715.8]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.645)","-0.00 (-0.00 to 0.00, p=0.180)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"1","AEI","[0.0,70.4]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.349)","0.01 (-0.01 to 0.03, p=0.403)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"2","AWWTWW","[0.4,98.9]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.551)","-0.01 (-0.06 to 0.04, p=0.789)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"10","IWWTWW","[0.2,83.5]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.305)","-0.01 (-0.06 to 0.05, p=0.800)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"13","MWWTWW","[0.9,74.0]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.632)","-0.01 (-0.06 to 0.04, p=0.767)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"7","IAWUE","[0.0,6.3]","Mean (sd)","0.0 (0.1)","0.00 (-0.01 to 0.02, p=0.566)","-0.08 (-0.26 to 0.10, p=0.397)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"9","IWUE","[1.8,2476.3]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.700)","-0.00 (-0.00 to 0.00, p=0.663)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"22","SWUE","[2.8,515.7]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.288)","-0.00 (-0.00 to 0.00, p=0.860)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"12","LR","[31.4,100.0]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.323)","0.00 (-0.00 to 0.01, p=0.300)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"19","PSE","[25.8,147.3]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.681)","0.00 (-0.00 to 0.00, p=0.788)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"21","SSE","[5.7,157.2]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.712)","0.00 (-0.00 to 0.00, p=0.956)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"29","TSE","[0.4,92.1]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.532)","-0.00 (-0.01 to 0.00, p=0.463)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"11","LEB","[29.0,82.6]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.895)","-0.00 (-0.01 to 0.01, p=0.584)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
