"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-7.15122338477204,3.07694074243462,-2.32413425651924,239.749889515691,0.020954871337735
"2","HDI",12.6828162376236,7.37862130171174,1.71885989523292,27.9545862061108,0.0966970894401533
"3","WS",0.0371511363546507,0.00402893197830527,9.22108800910507,6.00256797657655,9.15662314979748e-05
"4","WUE",0.0501495007269049,0.0181621053449595,2.76121626729926,16.0412275322572,0.0138848693855018
"5","NRI",-0.00176156998236989,0.000897431849130013,-1.96290112065622,20.2148947171825,0.0635665136839101
"6","TPASDW",0.0508890554321533,0.0614648011414116,0.82793817741431,158.641609380581,0.408949284054561
