"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.98770650028264,2.96040197318435,-2.36039111025396,255.9339314081,0.0190063451727487
"2","HDI",10.8713825549339,5.86118721681257,1.85480895811513,255.236113599469,0.0647766838718806
"3","WS",0.0385307665378607,0.00192095281909428,20.0581535136442,255.812777440603,0
"4","WUE",0.0534356935990018,0.0138491658834288,3.85840519557502,253.914819009033,0.00014478221612535
"5","NRI",-0.00156933522239334,0.000675351461094386,-2.32373114267093,255.596108431775,0.0209246721740173
"6","TPASDW",0.0600896304005258,0.0571309837128694,1.05178707761319,255.062602120576,0.293892682673549
