"","term","estimate","std.error","statistic","df","p.value"
"1","(Intercept)",-6.93283993203973,2.98792282055567,-2.32028748679339,255.220262404615,0.0211143699339602
"2","HDI",11.8003276313287,5.91282840073526,1.99571623452853,247.910808779012,0.0470590111778884
"3","WS",0.0386801655013163,0.00192020197278697,20.1438005217629,255.42221026529,0
"4","WUE",0.0510362862830732,0.0138999136635756,3.67169807801127,236.256691404665,0.000297960520954987
"5","NRI",-0.00146682201975225,0.000663918043583424,-2.20934200226769,254.974796016663,0.0280400965053875
"6","TPASDW",0.0519999869923188,0.0575013244360271,0.90432676990199,252.046066593874,0.366685707184846
